Date,Fully vaccinated,Partial vaccinated,,,,,,
8/7/2021,1463495,2984776,,,,,,
8/8/2021,1501249,3016441,,,,,,
8/9/2021,1510648,3033491,,,,,,
8/10/2021,1548545,3085235,,,,,,
8/11/2021,1599438,3155892,,,,,,
8/12/2021,1645077,3218397,,,,,,
8/13/2021,1693577,3280156,,,,,,
8/14/2021,1742669,3345335,,,,,,
8/15/2021,1767176,3385107,,,,,,
8/16/2021,1781578,3417891,,,,,,
8/17/2021,1826165,3480823,,,,,,
8/18/2021,1871458,3547120,,,,,,
8/19/2021,1924839,3625997,,,,,,
8/20/2021,1973224,3699581,,,,,,
8/21/2021,2022928,3779127,,,,,,
8/22/2021,2052364,3829992,,,,,,
8/23/2021,2066915,3875028,,,,,,
8/24/2021,2112611,3956005,,,,,,
8/25/2021,2163192,4036063,,,,,,
8/26/2021,2218458,4122930,,,,,,
8/27/2021,2273984,4206609,,,,,,
8/28/2021,2326130,4292979,,,,,,
8/29/2021,2353563,4335655,,,,,,
8/30/2021,2372417,4387803,,,,,,
8/31/2021,2433592,4475444,,,,,,
9/1/2021,2484199,4547478,,,,,,
9/2/2021,2539287,4631579,,,,,,
9/3/2021,2590966,4694229,,,,,,
9/4/2021,2644865,4768911,,,,,,
9/5/2021,2678906,4828724,,,,,,
9/6/2021,2692904,4862704,,,,,,
9/7/2021,2743498,4910785,,,,,,
9/8/2021,2802011,4961216,,,,,,
9/9/2021,2860253,5016985,,,,,,
9/10/2021,2924263,5073306,,,,,,
9/11/2021,2992899,5124780,,,,,,
9/12/2021,3031072,5152670,,,,,,
9/13/2021,3051925,5170963,,,,,,
9/14/2021,3121329,5217373,,,,,,
9/15/2021,3186444,5257327,,,,,,
9/16/2021,3256358,5296975,,,,,,
9/17/2021,3320667,5332793,,,,,,
9/18/2021,3408100,5374576,,,,,,
9/19/2021,3456741,5398633,,,,,,
9/20/2021,3482945,5413928,,,,,,
9/21/2021,3558711,5450534,,,,,,
9/22/2021,3640998,5486424,,,,,,
9/23/2021,3718288,5522265,,,,,,
9/24/2021,3796695,5558500,,,,,,
9/25/2021,3889864,5592648,,,,,,
9/26/2021,3943347,5614448,,,,,,
9/27/2021,3968843,5626658,,,,,,
9/28/2021,4048903,5660515,,,,,,
9/29/2021,4132602,5693944,,,,,,
9/30/2021,4204036,5724869,,,,,,
10/1/2021,4281843,5756898,,,,,,
10/2/2021,4366019,5785854,,,,,,
10/3/2021,4408263,5801150,,,,,,
10/4/2021,4428775,5808414,,,,,,
10/5/2021,4442925,5815075,,,,,,
10/6/2021,4538018,5844107,,,,,,
10/7/2021,4616948,5870574,,,,,,
10/8/2021,4693523,5894982,,,,,,
10/9/2021,4776653,5918121,,,,,,
10/10/2021,4827636,5931034,,,,,,
10/11/2021,4856736,5938082,,,,,,
10/12/2021,4939216,5959853,,,,,,
10/13/2021,5025898,5981468,,,,,,
10/14/2021,5105834,6000795,,,,,,
10/15/2021,5174571,6018275,,,,,,
10/16/2021,5240213,6034376,,,,,,
10/17/2021,5273024,6041780,,,,,,
10/18/2021,5302589,6046775,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
